ingreso_laboral,consumo,OSIG,n_personas,ISR,IVA,Total aportacion,Estado
22805.453,31728.242,Normativo,588.0,0.0,1095.1848,1095.1848,Aguascalientes
22435.27,28995.414,Normativo,588.0,4261.2051,834.40082,5095.606,Aguascalientes
17589.553,27615.842,Normativo,732.0,2945.0234,584.19257,3529.2161,Aguascalientes
7111.3018,30595.881,bisexual,1465.0,0.0,346.05511,346.05511,Aguascalientes
12299.793,25733.818,Normativo,366.0,1508.2323,1389.2578,2897.4902,Aguascalientes
8303.9834,14989.022,Normativo,732.0,0.0,291.80594,291.80594,Aguascalientes
3738.4922,15564.511,Normativo,570.0,224.77606,303.00928,527.78534,Aguascalientes
4165.126,37165.598,Normativo,537.0,253.94762,723.53925,977.48688,Aguascalientes
4257.4478,11390.355,Normativo,267.0,0.0,334.19348,334.19348,Aguascalientes
8692.1709,17122.168,Normativo,568.0,753.73889,591.01764,1344.7566,Aguascalientes
2337.6111,10918.1,Normativo,267.0,128.9893,589.4209,718.41022,Aguascalientes
6014.5327,13911.654,Normativo,802.0,426.84592,199.05099,625.89691,Aguascalientes
9307.6045,12490.964,gay,568.0,860.67987,327.66425,1188.3441,Aguascalientes
14931.023,21401.816,Normativo,516.0,2222.9204,416.64981,2639.5703,Aguascalientes
9558.3975,31769.873,Normativo,821.0,908.44995,805.97614,1714.426,Aguascalientes
21394.77,21520.438,Normativo,274.0,3978.5869,1161.7949,5140.3818,Aguascalientes
2939.4558,9524.6719,Normativo,516.0,0.0,185.42593,185.42593,Aguascalientes
6052.8555,17608.631,Normativo,822.0,0.0,290.59399,290.59399,Aguascalientes
7603.001,18145.289,Normativo,1095.0,620.77026,169.94354,790.71381,Aguascalientes
12357.392,21625.938,Normativo,582.0,1523.8771,310.15756,1834.0347,Aguascalientes
8492.7822,14423.523,Normativo,582.0,0.0,280.79666,280.79666,Aguascalientes
13365.778,29770.982,Normativo,1163.0,0.0,336.72498,336.72498,Aguascalientes
8828.041,23409.838,Normativo,1084.0,770.32629,264.77725,1035.1035,Aguascalientes
1917.0836,24424.232,Normativo,766.0,100.23529,349.46759,449.70288,Aguascalientes
6813.6133,16215.297,Normativo,1021.0,524.39978,204.94893,729.34869,Aguascalientes
2298.5916,25222.141,Normativo,1015.0,126.3213,360.88388,487.20517,Aguascalientes
15557.68,35492.66,Normativo,1078.0,2393.1313,547.45538,2940.5867,Aguascalientes
16623.732,30145.543,Normativo,338.0,2682.6899,1627.4258,4310.1157,Aguascalientes
9608.6338,26969.902,Normativo,676.0,918.01874,298.93607,1216.9548,Aguascalientes
14206.588,25322.805,Normativo,1437.0,2026.1511,455.08267,2481.2339,Aguascalientes
11556.929,22195.709,Normativo,1138.0,1328.1692,563.0874,1891.2566,Aguascalientes
7422.6665,26393.91,Normativo,379.0,598.75452,1424.8926,2023.6471,Aguascalientes
1683.9948,19890.689,Normativo,1072.0,84.297585,284.60068,368.89825,Aguascalientes
1654.4291,36931.504,Normativo,1072.0,82.276009,460.85492,543.13092,Aguascalientes
14162.618,20630.484,Normativo,759.0,2014.2083,541.18079,2555.3892,Aguascalientes
2951.3521,36254.539,Normativo,1434.0,170.95451,339.0282,509.98273,Aguascalientes
13388.019,26423.854,Normativo,860.0,1803.8134,378.0787,2181.8921,Aguascalientes
4445.3237,23510.771,bisexual,810.0,273.10641,336.39743,609.50385,Aguascalientes
11115.899,24300.746,Normativo,540.0,1231.8821,473.08588,1704.968,Aguascalientes
4038.7319,21436.021,Normativo,222.0,0.0,1157.2383,1157.2383,Aguascalientes
19965.182,28638.43,Normativo,236.0,3590.2861,1546.0645,5136.3506,Aguascalientes
22155.184,33576.934,Normativo,472.0,4185.1289,1158.9973,5344.126,Aguascalientes
2678.167,17721.537,Normativo,222.0,152.27518,956.70898,1108.9841,Aguascalientes
18224.125,42884.223,Normativo,667.0,3117.3845,543.15094,3660.5354,Aguascalientes
14447.151,38365.129,Normativo,1312.0,2091.4924,433.92969,2525.4221,Aguascalientes
1120.9828,9171.7236,Normativo,309.0,45.801044,495.1416,540.94263,Aguascalientes
1287.9709,15365.137,Normativo,927.0,57.219044,219.84792,277.06696,Aguascalientes
18373.121,28724.549,Normativo,656.0,3157.8545,991.50439,4149.3589,Aguascalientes
15853.446,33218.633,Normativo,853.0,0.0,652.35724,652.35724,Aguascalientes
10756.609,14398.039,Normativo,569.0,1153.4407,496.98663,1650.4272,Aguascalientes
6273.4961,24264.842,Normativo,1071.0,458.46082,306.6889,765.14972,Aguascalientes
6716.3911,19700.455,Normativo,1413.0,512.53064,184.22516,696.7558,Aguascalientes
1583.9211,20445.537,bisexual,1064.0,77.454948,245.28125,322.73621,Aguascalientes
6685.7461,20103.764,Normativo,1130.0,508.78937,227.38387,736.17322,Aguascalientes
9244.5537,19388.236,Normativo,1130.0,848.67017,219.29073,1067.9609,Aguascalientes
9037.6445,27193.982,Normativo,1978.0,809.25891,188.86847,998.12738,Aguascalientes
7563.2227,23649.141,Normativo,2330.0,0.0,111.27603,111.27603,Aguascalientes
636.46967,29068.572,Normativo,823.0,0.0,207.41727,207.41727,Aguascalientes
12664.919,23600.701,Normativo,874.0,1607.4069,474.17178,2081.5786,Aguascalientes
6014.7236,24226.855,Normativo,583.0,426.86923,836.2547,1263.1239,Aguascalientes
1505.3301,7826.459,Normativo,243.0,72.081207,422.5166,494.59781,Aguascalientes
7582.9795,14242.542,Normativo,1030.0,618.32593,201.28078,819.60669,Aguascalientes
2119.5313,12842.56,Normativo,485.0,114.07786,123.9394,238.01726,Aguascalientes
9336.5283,21569.471,Normativo,515.0,866.18915,744.52777,1610.7169,Aguascalientes
7079.3691,30352.953,Normativo,1432.0,556.84393,503.2626,1060.1066,Aguascalientes
2520.7036,31800.492,Normativo,539.0,141.50845,423.93085,565.43933,Aguascalientes
2450.6665,16133.293,Normativo,539.0,136.71959,556.88348,693.60309,Aguascalientes
7641.7578,9239.4814,Normativo,270.0,625.50177,498.7998,1124.3015,Aguascalientes
10157.127,23918.98,Normativo,809.0,1022.5595,529.21362,1551.7732,Aguascalientes
13999.098,25109.809,Normativo,1047.0,1969.7932,503.55435,2473.3477,Aguascalientes
2872.6511,25006.48,Normativo,493.0,165.57326,863.1651,1028.7384,Aguascalientes
6292.5664,25767.92,Normativo,1232.0,460.789,190.10881,650.89783,Aguascalientes
